Nickel Ni 9 58.6934 28 1.9 135.0
Palladium Pd 9 106.42 46 2.2 140.0
Platinum Pt 9 195.084 78 2.2 135.0
Ruthenium Ru 7 101.07 44 2.2 130.0
Sodium Na 0 22.989769 11 0.9 180.0
Niobium Nb 4 92.90638 41 1.6 145.0
Magnesium Mg 1 24.305 12 1.2 150.0
Lithium Li 0 6.941 3 1.0 145.0
Lead Pb 13 207.2 82 1.9 180.0
Yttrium Y 2 88.90585 39 1.2 180.0
Thallium Tl 12 204.3833 81 1.8 190.0
Rubidium Rb 0 85.4678 37 0.8 235.0
Titanium Ti 3 47.867 22 1.5 140.0
Radon Rn 17 222 86 2.4 120.0
Tellurium Te 15 127.6 52 2.1 140.0
Rhodium Rh 8 102.9055 45 2.2 135.0
Technetium Tc 6 98 43 1.9 135.0
Tantalum Ta 4 180.94788 73 1.5 145.0
Beryllium Be 1 9.012182 4 1.5 105.0
Xenon Xe 17 131.293 54 2.6 108.0
Barium Ba 1 137.327 56 0.9 215.0
Bismuth Bi 14 208.9804 83 1.9 160.0
Silicon Si 13 28.0855 14 1.8 110.0
Arsenic As 14 74.9216 33 2.0 115.0
Polonium Po 15 209 84 2.0 190.0
Iron Fe 7 55.845 26 1.8 140.0
Bromine Br 16 79.904 35 2.8 115.0
Strontium Sr 1 87.62 38 1.0 200.0
Hafnium Hf 3 178.49 72 1.3 155.0
Molybdenum Mo 5 95.96 42 1.8 145.0
Helium He 17 4.002602 2 -1 31.0
Carbon C 13 12.0107 6 2.5 70.0
Boron B 12 10.811 5 2.0 85.0
Fluorine F 16 18.998404 9 4.0 50.0
Iodine I 16 126.90447 53 2.5 140.0
Hydrogen H 0 1.00794 1 2.1 25.0
Potassium K 0 39.0983 19 0.8 220.0
Manganese Mn 6 54.938046 25 1.5 140.0
Oxygen O 15 15.9994 8 3.5 60.0
Neon Ne 17 20.1797 10 -1 38.0
Phosphorus P 14 30.973763 15 2.1 100.0
Sulfur S 15 32.065 16 2.5 100.0
Rhenium Re 6 186.207 75 1.9 135.0
Krypton Kr 17 83.798 36 -1 88.0
Tungsten W 5 183.84 74 1.7 135.0
Vanadium V 4 50.9415 23 1.6 135.0
Scandium Sc 2 44.955914 21 1.3 160.0
Antimony Sb 14 121.76 51 1.9 145.0
Nitrogen N 14 14.0067 7 3.0 65.0
Osmium Os 7 190.23 76 2.2 130.0
Selenium Se 15 78.96 34 2.4 115.0
Mercury Hg 11 200.59 80 1.9 150.0
Zinc Zn 11 65.38 30 1.6 135.0
Cobalt Co 8 58.933193 27 1.9 135.0
Silver Ag 10 107.8682 47 1.9 160.0
Chlorine Cl 16 35.453 17 3.0 100.0
Nitrate Nr 100 222 100 2.4 0
Calcium Ca 1 40.078 20 1.0 180.0
Iridium Ir 8 192.217 77 2.2 135.0
Aluminium Al 12 26.981539 13 1.5 125.0
Cadmium Cd 11 112.411 48 1.7 155.0
Germanium Ge 13 72.63 32 1.8 125.0
Argon Ar 17 39.948 18 -1 71.0
Gold Au 10 196.96657 79 2.4 135.0
Zirconium Zr 3 91.224 40 1.4 155.0
Gallium Ga 12 69.723 31 1.6 130.0
Indium In 12 114.818 49 1.7 155.0
Caesium Cs 0 132.90546 55 0.7 260.0
Chromium Cr 5 51.9961 24 1.6 140.0
Astatine At 16 210 85 2.2 202.0
Copper Cu 10 63.546 29 1.9 135.0
Tin Sn 13 118.71 50 1.8 145.0
